"LAT","LON","DISTRICT","STATION","count"
22.33,88.38,"24 PARGANAS S   ","BARNIPUR        1",31
22.63,86.98,"JHARGRAM        ","D.P.GHAT        ",31
22.67,88.65,"24 PARGANAS N   ","DEGANGA         1",31
22.8,87.9,"HOOGLY          ","HARINKHOLA      ",31
22.93,86.77,"BANKURA         ","KANSABETI DAM   ",31
22.97,88.05,"HOOGLY          ","DHANIAKHALI     1",31
23,86.63,"PURULIA ","KHARIDWAR(CWC)  ",31
23.07,86.37,"PURULIA ","PURIHANSA       ",31
23.13,86.72,"PURULIA ","TUSUMA(CWC)     ",31
23.18,88.53,"NADIA           ","NAKSHIPARA      ",31
23.3,86.37,"PURULIA ","SIMULA(CWC)     ",31
23.34,86.36,"PURULIA ","HATWARA         ",31
23.43,86.67,"PURULIA ","KASHIPUR        ",31
23.6,87.7,"BIRBHUM         ","GHEROPARA       ",31
23.93,87.55,"BIRBHUM         ","TILPARA BARRAGE ",31
24.03,87.15,"BIRBHUM         ","TANTLOI         ",31
24.48,87.05,"MURSHIDABAD     ","JANGIPUR        ",31
25.15,88.17,"UTTAR DINAJPUR","ISLAMPUR        ",31
26.17,89.25,"DARJEELING      ","SALBARI         ",31
26.58,88.68,"JALPAIGURI      ","MOHITNAGAR      ",31
27.12,88,"DARJEELING      ","SANDAKPHU       ",31
22.67,88.65,"24 PARGANAS S   ","MANMOTHNAGAR    ",30
22.7,87.58,"PASCHIM MEDINIPUR","KHIRAPAI        ",30
22.77,88.37,"24 PARGANAS N   ","BARRACKPUR(IAF) ",30
22.78,86.93,"BANKURA         ","SIROMANIPUR     ",30
23.12,88.22,"HOOGLY          ","BOINCHEE        ",30
23.26,88.06,"PURBA BARDHAMAN         ","MONTESWAR       ",30
23.48,87.47,"PASCHIM BARDHAMAN         ","KANKSA          ",30
23.7,88.3,"NADIA           ","DEBAGRAM        1",30
23.75,88.12,"MURSHIDABAD     ","SALAR           ",30
26.33,88.75,"COOCH BEHAR     ","HELDIBARI       ",30
22.05,88.07,"PURBA MEDINIPUR","DURGACHACK      ",29
23.23,87.85,"PURBA BARDHAMAN         ","BURDAWAN        1",29
23.33,86.75,"BANKURA         ","ARHARA          ",29
23.68,87.35,"PURBA BARDHAMAN         ","SHAMSUNDAR ROYNA",29
23.87,88.45,"MURSHIDABAD     ","AMTALA          ",29
24.17,87.5,"BIRBHUM         ","NALHATI         2",29
24.25,87.67,"BIRBHUM         ","NARAYANPUR      ",29
23.45,87.2,"BIRBHUM         ","LABPUR          2",28
24.26,87.35,"BIRBHUM         ","MURARAI         2",28
23.2,86.03,"PURULIA ","BAGMANDI        ",27
23.23,87.07,"BANKURA         ","BANKURA(CWC)    ",27
23.32,87.54,"PURBA BARDHAMAN         ","MANGALKOT       ",27
27,88.15,"DARJEELING      ","SUKHIAPOKHRI    ",27
22.78,87.83,"HOOGLY          ","TENTULIA        ",26
